时间,无症状感染,现有确诊病例,死亡者
2022/11/13,92639,13389,5226
2022/11/14,106375,14473,5226
2022/11/15,121499,15345,5226
2022/11/16,137590,17172,5226
2022/11/17,155397,18477,5226
2022/11/18,173036,19709,5226
2022/11/19,189669,20829,5227
2022/11/20,208514,22210,5229
2022/11/21,228128,23296,5231
2022/11/22,247193,24630,5231
2022/11/23,263010,26813,5232
2022/11/24,282592,28164,5232
2022/11/25,300965,29745,5232
2022/11/26,320219,31410,5233
2022/11/27,342488,33129,5233
2022/11/28,362122,33967,5233
2022/11/29,376862,35616,5233
2022/11/30,388467,37347,5233
2022/12/1,396094,38748,5233
2022/12/2,395916,39358,5233
2022/12/3,391042,40228,5235
2022/12/4,384295,40633,5235
2022/12/5,371140,42481,5235
2022/12/6,356627,42955,5235
2022/12/7,342162,43266,5235
2022/12/8,322042,43158,5235
2022/12/9,296639,41559,5235
2022/12/10,274133,39391,5235
2022/12/11,250822,37968,5235
2022/12/12,230346,36340,5235
